-- Logs begin at Tue 2014-11-18 04:29:31 UTC, end at Tue 2014-11-18 05:28:31 UTC. --
Nov 18 04:57:56 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:01 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:06 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:12 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:17 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:22 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:27 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:32 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:37 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:42 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:47 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:52 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:58:57 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:59:02 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:59:07 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:59:12 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:59:17 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:59:22 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:59:27 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:59:32 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:59:37 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:59:42 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:59:47 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
